Time(s), T_gas(K), N_gas(#/cm^3), E, H2, O2, H, O, OH, O2(A1)
6.6e-10, 400, 1.83473e+19, 74873.7, 3.0585e+18, 1.52833e+18, 593796, 300071, 15446.7, 29078.8
6.7e-10, 400, 1.83473e+19, 77224.6, 3.0585e+18, 1.52833e+18, 615333, 310890, 16129.3, 30125.3
6.8e-10, 400, 1.83473e+19, 79649.7, 3.0585e+18, 1.52833e+18, 637549, 322049, 16835.8, 31204.6
6.9e-10, 400, 1.83473e+19, 82151.2, 3.0585e+18, 1.52833e+18, 660465, 333559, 17566.9, 32317.8
7e-10, 400, 1.83473e+19, 84731.6, 3.0585e+18, 1.52833e+18, 684104, 345431, 18323.5, 33465.9
7.1e-10, 400, 1.83473e+19, 87393.4, 3.0585e+18, 1.52833e+18, 708488, 357677, 19106.3, 34650.2
7.2e-10, 400, 1.83473e+19, 90139.2, 3.0585e+18, 1.52833e+18, 733641, 370308, 19916.1, 35871.7
7.3e-10, 400, 1.83473e+19, 92971.5, 3.0585e+18, 1.52833e+18, 759587, 383335, 20753.7, 37131.6
7.4e-10, 400, 1.83473e+19, 95893.2, 3.0585e+18, 1.52833e+18, 786351, 396773, 21620, 38431
7.5e-10, 400, 1.83473e+19, 98906.9, 3.0585e+18, 1.52833e+18, 813958, 410634, 22516, 39771.4
7.6e-10, 400, 1.83473e+19, 102016, 3.0585e+18, 1.52833e+18, 842437, 424931, 23442.4, 41153.9
7.7e-10, 400, 1.83473e+19, 105223, 3.0585e+18, 1.52833e+18, 871813, 439677, 24400.4, 42579.8
7.8e-10, 400, 1.83473e+19, 108531, 3.0585e+18, 1.52833e+18, 902115, 454888, 25390.7, 44050.6
7.9e-10, 400, 1.83473e+19, 111943, 3.0585e+18, 1.52833e+18, 933373, 470577, 26414.6, 45567.6
8e-10, 400, 1.83473e+19, 115463, 3.0585e+18, 1.52833e+18, 965616, 486760, 27472.9, 47132.4
8.1e-10, 400, 1.83473e+19, 119094, 3.0585e+18, 1.52833e+18, 998875, 503452, 28566.8, 48746.4
8.2e-10, 400, 1.83473e+19, 122839, 3.0585e+18, 1.52833e+18, 1.03318e+06, 520670, 29697.4, 50411.1
8.3e-10, 400, 1.83473e+19, 126702, 3.0585e+18, 1.52833e+18, 1.06857e+06, 538429, 30865.8, 52128.2
8.4e-10, 400, 1.83473e+19, 130687, 3.0585e+18, 1.52833e+18, 1.10508e+06, 556748, 32073.2, 53899.3
8.5e-10, 400, 1.83473e+19, 134798, 3.0585e+18, 1.52833e+18, 1.14273e+06, 575643, 33320.8, 55726.2
8.6e-10, 400, 1.83473e+19, 139039, 3.0585e+18, 1.52833e+18, 1.18158e+06, 595133, 34609.9, 57610.5
8.7e-10, 400, 1.83473e+19, 143413, 3.0585e+18, 1.52833e+18, 1.22164e+06, 615237, 35941.8, 59554.1
8.8e-10, 400, 1.83473e+19, 147925, 3.0585e+18, 1.52833e+18, 1.26298e+06, 635973, 37317.7, 61558.9
8.9e-10, 400, 1.83473e+19, 152579, 3.0585e+18, 1.52833e+18, 1.30561e+06, 657362, 38739.2, 63626.8
9e-10, 400, 1.83473e+19, 157380, 3.0585e+18, 1.52833e+18, 1.34959e+06, 679425, 40207.5, 65759.8
9.1e-10, 400, 1.83473e+19, 162333, 3.0585e+18, 1.52833e+18, 1.39495e+06, 702182, 41724.2, 67959.9
9.2e-10, 400, 1.83473e+19, 167441, 3.0585e+18, 1.52833e+18, 1.44174e+06, 725656, 43290.8, 70229.2
9.3e-10, 400, 1.83473e+19, 172711, 3.0585e+18, 1.52833e+18, 1.49001e+06, 749869, 44908.8, 72569.9
9.4e-10, 400, 1.83473e+19, 178146, 3.0585e+18, 1.52833e+18, 1.5398e+06, 774844, 46579.8, 74984.4
9.5e-10, 400, 1.83473e+19, 183753, 3.0585e+18, 1.52833e+18, 1.59116e+06, 800606, 48305.5, 77474.8
9.6e-10, 400, 1.83473e+19, 189537, 3.0585e+18, 1.52833e+18, 1.64414e+06, 827179, 50087.7, 80043.7
9.7e-10, 400, 1.83473e+19, 195503, 3.0585e+18, 1.52833e+18, 1.69879e+06, 854589, 51928, 82693.4
9.8e-10, 400, 1.83473e+19, 201657, 3.0585e+18, 1.52833e+18, 1.75516e+06, 882862, 53828.3, 85426.5
9.9e-10, 400, 1.83473e+19, 208005, 3.0585e+18, 1.52833e+18, 1.81331e+06, 912026, 55790.5, 88245.7
1e-09, 400, 1.83473e+19, 214554, 3.0585e+18, 1.52833e+18, 1.87329e+06, 942108, 57816.5, 91153.7
1.01e-09, 400, 1.83473e+19, 221308, 3.0585e+18, 1.52833e+18, 1.93516e+06, 973137, 59908.3, 94153.2
1.02e-09, 400, 1.83473e+19, 228276, 3.0585e+18, 1.52833e+18, 1.99898e+06, 1.00514e+06, 62068, 97247.1
1.03e-09, 400, 1.83473e+19, 235463, 3.0585e+18, 1.52833e+18, 2.06481e+06, 1.03816e+06, 64297.7, 100439
1.04e-09, 400, 1.83473e+19, 242877, 3.0585e+18, 1.52833e+18, 2.13272e+06, 1.07221e+06, 66599.6, 103730
1.05e-09, 400, 1.83473e+19, 250524, 3.0585e+18, 1.52833e+18, 2.20277e+06, 1.10734e+06, 68976, 107126
1.06e-09, 400, 1.83473e+19, 258412, 3.0585e+18, 1.52833e+18, 2.27503e+06, 1.14357e+06, 71429.1, 110628
1.07e-09, 400, 1.83473e+19, 266550, 3.0585e+18, 1.52833e+18, 2.34956e+06, 1.18095e+06, 73961.5, 114241
1.08e-09, 400, 1.83473e+19, 274943, 3.0585e+18, 1.52833e+18, 2.42644e+06, 1.2195e+06, 76575.5, 117968
1.09e-09, 400, 1.83473e+19, 283601, 3.0585e+18, 1.52833e+18, 2.50575e+06, 1.25927e+06, 79273.8, 121812
1.1e-09, 400, 1.83473e+19, 292532, 3.0585e+18, 1.52833e+18, 2.58755e+06, 1.30028e+06, 82059, 125777
1.11e-09, 400, 1.83473e+19, 301745, 3.0585e+18, 1.52833e+18, 2.67194e+06, 1.3426e+06, 84933.8, 129866
1.12e-09, 400, 1.83473e+19, 311248, 3.0585e+18, 1.52833e+18, 2.75898e+06, 1.38624e+06, 87901.1, 134085
1.13e-09, 400, 1.83473e+19, 321050, 3.0585e+18, 1.52833e+18, 2.84877e+06, 1.43126e+06, 90963.7, 138437
1.14e-09, 400, 1.83473e+19, 331162, 3.0585e+18, 1.52833e+18, 2.94138e+06, 1.4777e+06, 94124.6, 142925
1.15e-09, 400, 1.83473e+19, 341592, 3.0585e+18, 1.52833e+18, 3.03692e+06, 1.5256e+06, 97386.9, 147555
1.16e-09, 400, 1.83473e+19, 352351, 3.0585e+18, 1.52833e+18, 3.13547e+06, 1.575e+06, 100754, 152331
1.17e-09, 400, 1.83473e+19, 363449, 3.0585e+18, 1.52833e+18, 3.23712e+06, 1.62597e+06, 104229, 157257
1.18e-09, 400, 1.83473e+19, 374896, 3.0585e+18, 1.52833e+18, 3.34198e+06, 1.67854e+06, 107815, 162339
1.19e-09, 400, 1.83473e+19, 386705, 3.0585e+18, 1.52833e+18, 3.45014e+06, 1.73277e+06, 111516, 167580
1.2e-09, 400, 1.83473e+19, 398886, 3.0585e+18, 1.52833e+18, 3.56171e+06, 1.7887e+06, 115335, 172987
1.21e-09, 400, 1.83473e+19, 411450, 3.0585e+18, 1.52833e+18, 3.6768e+06, 1.8464e+06, 119276, 178564
1.22e-09, 400, 1.83473e+19, 424411, 3.0585e+18, 1.52833e+18, 3.79551e+06, 1.90592e+06, 123344, 184316
1.23e-09, 400, 1.83473e+19, 437780, 3.0585e+18, 1.52833e+18, 3.91797e+06, 1.96731e+06, 127541, 190250
1.24e-09, 400, 1.83473e+19, 451570, 3.0585e+18, 1.52833e+18, 4.04428e+06, 2.03063e+06, 131872, 196371
1.25e-09, 400, 1.83473e+19, 465796, 3.0585e+18, 1.52833e+18, 4.17458e+06, 2.09595e+06, 136341, 202684
1.26e-09, 400, 1.83473e+19, 480469, 3.0585e+18, 1.52833e+18, 4.30898e+06, 2.16333e+06, 140953, 209197
1.27e-09, 400, 1.83473e+19, 495605, 3.0585e+18, 1.52833e+18, 4.44762e+06, 2.23283e+06, 145712, 215914
1.28e-09, 400, 1.83473e+19, 511218, 3.0585e+18, 1.52833e+18, 4.59063e+06, 2.30452e+06, 150623, 222844
1.29e-09, 400, 1.83473e+19, 527323, 3.0585e+18, 1.52833e+18, 4.73814e+06, 2.37847e+06, 155690, 229991
1.3e-09, 400, 1.83473e+19, 543936, 3.0585e+18, 1.52833e+18, 4.89031e+06, 2.45475e+06, 160918, 237364
1.31e-09, 400, 1.83473e+19, 561072, 3.0585e+18, 1.52833e+18, 5.04727e+06, 2.53343e+06, 166313, 244969
1.32e-09, 400, 1.83473e+19, 578748, 3.0585e+18, 1.52833e+18, 5.20917e+06, 2.61459e+06, 171879, 252814
1.33e-09, 400, 1.83473e+19, 596982, 3.0585e+18, 1.52833e+18, 5.37618e+06, 2.69831e+06, 177623, 260906
1.34e-09, 400, 1.83473e+19, 615790, 3.0585e+18, 1.52833e+18, 5.54845e+06, 2.78467e+06, 183549, 269252
1.35e-09, 400, 1.83473e+19, 635191, 3.0585e+18, 1.52833e+18, 5.72616e+06, 2.87375e+06, 189663, 277862
1.36e-09, 400, 1.83473e+19, 655203, 3.0585e+18, 1.52833e+18, 5.90946e+06, 2.96563e+06, 195972, 286743
1.37e-09, 400, 1.83473e+19, 675846, 3.0585e+18, 1.52833e+18, 6.09854e+06, 3.06041e+06, 202481, 295904
1.38e-09, 400, 1.83473e+19, 697139, 3.0585e+18, 1.52833e+18, 6.29358e+06, 3.15818e+06, 209196, 305353
1.39e-09, 400, 1.83473e+19, 719104, 3.0585e+18, 1.52833e+18, 6.49476e+06, 3.25902e+06, 216125, 315100
1.4e-09, 400, 1.83473e+19, 741761, 3.0585e+18, 1.52833e+18, 6.70229e+06, 3.36305e+06, 223274, 325155
1.41e-09, 400, 1.83473e+19, 765132, 3.0585e+18, 1.52833e+18, 6.91635e+06, 3.47035e+06, 230650, 335526
1.42e-09, 400, 1.83473e+19, 789240, 3.0585e+18, 1.52833e+18, 7.13716e+06, 3.58103e+06, 238259, 346224
1.43e-09, 400, 1.83473e+19, 814107, 3.0585e+18, 1.52833e+18, 7.36494e+06, 3.6952e+06, 246110, 357259
1.44e-09, 400, 1.83473e+19, 839758, 3.0585e+18, 1.52833e+18, 7.59989e+06, 3.81297e+06, 254210, 368641
1.45e-09, 400, 1.83473e+19, 866218, 3.0585e+18, 1.52833e+18, 7.84224e+06, 3.93445e+06, 262567, 380383
1.46e-09, 400, 1.83473e+19, 893511, 3.0585e+18, 1.52833e+18, 8.09223e+06, 4.05976e+06, 271188, 392494
1.47e-09, 400, 1.83473e+19, 921664, 3.0585e+18, 1.52833e+18, 8.3501e+06, 4.18901e+06, 280083, 404987
1.48e-09, 400, 1.83473e+19, 950705, 3.0585e+18, 1.52833e+18, 8.6161e+06, 4.32234e+06, 289259, 417873
1.49e-09, 400, 1.83473e+19, 980661, 3.0585e+18, 1.52833e+18, 8.89048e+06, 4.45987e+06, 298727, 431166
1.5e-09, 400, 1.83473e+19, 1.01156e+06, 3.0585e+18, 1.52833e+18, 9.17351e+06, 4.60174e+06, 308494, 444877
1.51e-09, 400, 1.83473e+19, 1.04344e+06, 3.0585e+18, 1.52833e+18, 9.46546e+06, 4.74807e+06, 318570, 459021
1.52e-09, 400, 1.83473e+19, 1.07631e+06, 3.0585e+18, 1.52833e+18, 9.76661e+06, 4.89902e+06, 328965, 473610
1.53e-09, 400, 1.83473e+19, 1.11023e+06, 3.0585e+18, 1.52833e+18, 1.00772e+07, 5.05472e+06, 339689, 488659
1.54e-09, 400, 1.83473e+19, 1.14521e+06, 3.0585e+18, 1.52833e+18, 1.03977e+07, 5.21533e+06, 350753, 504182
1.55e-09, 400, 1.83473e+19, 1.1813e+06, 3.0585e+18, 1.52833e+18, 1.07282e+07, 5.381e+06, 362167, 520194
1.56e-09, 400, 1.83473e+19, 1.21852e+06, 3.0585e+18, 1.52833e+18, 1.10691e+07, 5.55189e+06, 373941, 536711
1.57e-09, 400, 1.83473e+19, 1.25692e+06, 3.0585e+18, 1.52833e+18, 1.14208e+07, 5.72816e+06, 386089, 553748
1.58e-09, 400, 1.83473e+19, 1.29652e+06, 3.0585e+18, 1.52833e+18, 1.17836e+07, 5.90999e+06, 398620, 571323
1.59e-09, 400, 1.83473e+19, 1.33738e+06, 3.0585e+18, 1.52833e+18, 1.21578e+07, 6.09755e+06, 411548, 589451
1.6e-09, 400, 1.83473e+19, 1.37952e+06, 3.0585e+18, 1.52833e+18, 1.25438e+07, 6.29102e+06, 424885, 608150
1.61e-09, 400, 1.83473e+19, 1.42299e+06, 3.0585e+18, 1.52833e+18, 1.2942e+07, 6.49059e+06, 438643, 627438
1.62e-09, 400, 1.83473e+19, 1.46783e+06, 3.0585e+18, 1.52833e+18, 1.33527e+07, 6.69645e+06, 452836, 647334
1.63e-09, 400, 1.83473e+19, 1.51409e+06, 3.0585e+18, 1.52833e+18, 1.37763e+07, 6.90879e+06, 467478, 667858
1.64e-09, 400, 1.83473e+19, 1.5618e+06, 3.0585e+18, 1.52833e+18, 1.42134e+07, 7.12782e+06, 482582, 689028
1.65e-09, 400, 1.83473e+19, 1.61101e+06, 3.0585e+18, 1.52833e+18, 1.46641e+07, 7.35376e+06, 498164, 710865
1.66e-09, 400, 1.83473e+19, 1.66178e+06, 3.0585e+18, 1.52833e+18, 1.51291e+07, 7.58682e+06, 514239, 733390
1.67e-09, 400, 1.83473e+19, 1.71414e+06, 3.0585e+18, 1.52833e+18, 1.56088e+07, 7.82722e+06, 530821, 756625
1.68e-09, 400, 1.83473e+19, 1.76816e+06, 3.0585e+18, 1.52833e+18, 1.61035e+07, 8.07519e+06, 547927, 780592
1.69e-09, 400, 1.83473e+19, 1.82388e+06, 3.0585e+18, 1.52833e+18, 1.66139e+07, 8.33098e+06, 565573, 805314
1.7e-09, 400, 1.83473e+19, 1.88135e+06, 3.0585e+18, 1.52833e+18, 1.71403e+07, 8.59484e+06, 583777, 830816
1.71e-09, 400, 1.83473e+19, 1.94064e+06, 3.0585e+18, 1.52833e+18, 1.76833e+07, 8.867e+06, 602556, 857121
1.72e-09, 400, 1.83473e+19, 2.00179e+06, 3.0585e+18, 1.52833e+18, 1.82435e+07, 9.14775e+06, 621928, 884255
1.73e-09, 400, 1.83473e+19, 2.06487e+06, 3.0585e+18, 1.52833e+18, 1.88212e+07, 9.43734e+06, 641912, 912244
1.74e-09, 400, 1.83473e+19, 2.12994e+06, 3.0585e+18, 1.52833e+18, 1.94172e+07, 9.73605e+06, 662527, 941115
1.75e-09, 400, 1.83473e+19, 2.19706e+06, 3.0585e+18, 1.52833e+18, 2.0032e+07, 1.00442e+07, 683792, 970896
1.76e-09, 400, 1.83473e+19, 2.2663e+06, 3.0585e+18, 1.52833e+18, 2.06662e+07, 1.0362e+07, 705729, 1.00162e+06
1.77e-09, 400, 1.83473e+19, 2.33771e+06, 3.0585e+18, 1.52833e+18, 2.13203e+07, 1.06899e+07, 728359, 1.0333e+06
1.78e-09, 400, 1.83473e+19, 2.41138e+06, 3.0585e+18, 1.52833e+18, 2.19951e+07, 1.10281e+07, 751703, 1.06599e+06
1.79e-09, 400, 1.83473e+19, 2.48737e+06, 3.0585e+18, 1.52833e+18, 2.26911e+07, 1.13769e+07, 775784, 1.09971e+06
1.8e-09, 400, 1.83473e+19, 2.56575e+06, 3.0585e+18, 1.52833e+18, 2.3409e+07, 1.17368e+07, 800625, 1.13448e+06
1.81e-09, 400, 1.83473e+19, 2.64661e+06, 3.0585e+18, 1.52833e+18, 2.41496e+07, 1.21079e+07, 826250, 1.17036e+06
1.82e-09, 400, 1.83473e+19, 2.73001e+06, 3.0585e+18, 1.52833e+18, 2.49135e+07, 1.24908e+07, 852684, 1.20736e+06
1.83e-09, 400, 1.83473e+19, 2.81604e+06, 3.0585e+18, 1.52833e+18, 2.57015e+07, 1.28857e+07, 879952, 1.24554e+06
1.84e-09, 400, 1.83473e+19, 2.90478e+06, 3.0585e+18, 1.52833e+18, 2.65144e+07, 1.32931e+07, 908081, 1.28491e+06
1.85e-09, 400, 1.83473e+19, 2.99632e+06, 3.0585e+18, 1.52833e+18, 2.73528e+07, 1.37134e+07, 937097, 1.32552e+06
1.86e-09, 400, 1.83473e+19, 3.09074e+06, 3.0585e+18, 1.52833e+18, 2.82177e+07, 1.41468e+07, 967029, 1.36742e+06
1.87e-09, 400, 1.83473e+19, 3.18814e+06, 3.0585e+18, 1.52833e+18, 2.91098e+07, 1.4594e+07, 997906, 1.41063e+06
1.88e-09, 400, 1.83473e+19, 3.28861e+06, 3.0585e+18, 1.52833e+18, 3.003e+07, 1.50552e+07, 1.02976e+06, 1.45521e+06
1.89e-09, 400, 1.83473e+19, 3.39224e+06, 3.0585e+18, 1.52833e+18, 3.09793e+07, 1.55309e+07, 1.06261e+06, 1.50119e+06
1.9e-09, 400, 1.83473e+19, 3.49914e+06, 3.0585e+18, 1.52833e+18, 3.19584e+07, 1.60217e+07, 1.0965e+06, 1.54862e+06
1.91e-09, 400, 1.83473e+19, 3.60941e+06, 3.0585e+18, 1.52833e+18, 3.29684e+07, 1.65279e+07, 1.13147e+06, 1.59755e+06
1.92e-09, 400, 1.83473e+19, 3.72315e+06, 3.0585e+18, 1.52833e+18, 3.40102e+07, 1.705e+07, 1.16753e+06, 1.64802e+06
1.93e-09, 400, 1.83473e+19, 3.84048e+06, 3.0585e+18, 1.52833e+18, 3.50849e+07, 1.75887e+07, 1.20473e+06, 1.70007e+06
1.94e-09, 400, 1.83473e+19, 3.9615e+06, 3.0585e+18, 1.52833e+18, 3.61935e+07, 1.81443e+07, 1.24311e+06, 1.75377e+06
1.95e-09, 400, 1.83473e+19, 4.08634e+06, 3.0585e+18, 1.52833e+18, 3.73369e+07, 1.87174e+07, 1.28269e+06, 1.80916e+06
1.96e-09, 400, 1.83473e+19, 4.21511e+06, 3.0585e+18, 1.52833e+18, 3.85164e+07, 1.93085e+07, 1.32353e+06, 1.8663e+06
1.97e-09, 400, 1.83473e+19, 4.34794e+06, 3.0585e+18, 1.52833e+18, 3.97331e+07, 1.99183e+07, 1.36565e+06, 1.92523e+06
1.98e-09, 400, 1.83473e+19, 4.48496e+06, 3.0585e+18, 1.52833e+18, 4.09881e+07, 2.05473e+07, 1.4091e+06, 1.98603e+06
1.99e-09, 400, 1.83473e+19, 4.62629e+06, 3.0585e+18, 1.52833e+18, 4.22827e+07, 2.11961e+07, 1.45392e+06, 2.04874e+06
2e-09, 400, 1.83473e+19, 4.77208e+06, 3.0585e+18, 1.52833e+18, 4.36181e+07, 2.18654e+07, 1.50016e+06, 2.11342e+06
2.01e-09, 400, 1.83473e+19, 4.92246e+06, 3.0585e+18, 1.52833e+18, 4.49955e+07, 2.25558e+07, 1.54785e+06, 2.18015e+06
2.02e-09, 400, 1.83473e+19, 5.07758e+06, 3.0585e+18, 1.52833e+18, 4.64164e+07, 2.32679e+07, 1.59705e+06, 2.24897e+06
2.03e-09, 400, 1.83473e+19, 5.23758e+06, 3.0585e+18, 1.52833e+18, 4.7882e+07, 2.40025e+07, 1.6478e+06, 2.31997e+06
2.04e-09, 400, 1.83473e+19, 5.40263e+06, 3.0585e+18, 1.52833e+18, 4.93938e+07, 2.47602e+07, 1.70015e+06, 2.3932e+06
